"tconst","titleType","primaryTitle","startYear","runtimeMinutes","genres","averageRating","numVotes"
"tt0107875","movie","The Princess and the Goblin","1991","82","Adventure,Animation,Comedy",6.7,3184
"tt0107877","movie","Prison Heat","1993","91","Crime,Drama,Thriller",4.1,1010
"tt0107889","movie","The Program","1993","112","Action,Drama,Romance",6.5,11630
"tt0107894","movie","Psycho Cop Returns","1993","80","Drama,Horror,Thriller",5.1,2826
"tt0107920","movie","Raining Stones","1993","90","Comedy,Drama",7.3,4947
"tt0107927","movie","The Real McCoy","1993","105","Crime,Drama,Thriller",5.5,9680
"tt0107930","movie","Reckless Kelly","1993","80","Comedy",5.1,1821
"tt0107943","movie","The Remains of the Day","1993","134","Drama,Romance",7.8,85062
"tt0107953","movie","Return of the Living Dead III","1993","97","Horror",5.9,16879
"tt0107969","movie","Rising Sun","1993","129","Action,Crime,Drama",6.2,48408
"tt0107977","movie","Robin Hood: Men in Tights","1993","104","Adventure,Comedy,Musical",6.7,137679
"tt0107978","movie","RoboCop 3","1993","104","Action,Crime,Sci-Fi",4.2,54664
"tt0107979","movie","Robot Wars","1993","72","Action,Sci-Fi",3.9,1617
"tt0107983","movie","Romeo Is Bleeding","1993","110","Crime,Drama,Romance",6.5,15261
"tt0107985","movie","Rookie of the Year","1993","103","Comedy,Family,Fantasy",6.1,31195
"tt0107986","movie","Roop Ki Rani Choron Ka Raja","1993","190","Action,Drama,Musical",4.8,1032
"tt0107989","movie","Roseanna","1993","95","Crime,Drama,Thriller",6.2,1259
"tt0107999","movie","Deception","1992","90","Mystery,Thriller",5,2601
"tt0108000","movie","Ruby in Paradise","1993","114","Drama,Romance",6.9,3279
"tt0108002","movie","Rudy","1993","114","Biography,Drama,Sport",7.5,69405
"tt0108026","movie","The Saint of Fort Washington","1993","103","Drama",7,2844
"tt0108037","movie","The Sandlot","1993","101","Comedy,Drama,Family",7.8,103352
"tt0108045","movie","Save Me","1994","93","Mystery,Thriller",4.1,1617
"tt0108052","movie","Schindler's List","1993","195","Biography,Drama,History",9,1460481
"tt0108053","movie","Schramm","1993","65","Horror",5.7,3488
"tt0108065","movie","Searching for Bobby Fischer","1993","109","Biography,Drama,Sport",7.4,42555
"tt0108069","movie","The Secret Adventures of Tom Thumb","1993","60","Adventure,Animation,Drama",7.2,1623
"tt0108071","movie","The Secret Garden","1993","101","Drama,Family,Fantasy",7.3,44742
"tt0108074","movie","The Eagle Shooting Heroes","1993","103","Action,Comedy,Fantasy",7,3273
"tt0108101","movie","Shadowlands","1993","131","Biography,Drama,Romance",7.3,20523
"tt0108122","movie","Short Cuts","1993","188","Comedy,Drama",7.6,47552
"tt0108135","movie","Silent Tongue","1993","102","Drama,Horror,Western",5.2,1315
"tt0108137","movie","The Silver Brumby","1993","93","Drama,Family",5.8,1271
"tt0108147","movie","Sister Act 2: Back in the Habit","1993","107","Comedy,Family,Music",5.7,59183
"tt0108148","movie","Iron Monkey","1993","85","Action,Crime,Drama",7.5,17286
"tt0108149","movie","Six Degrees of Separation","1993","112","Comedy,Drama,Mystery",6.8,22751
"tt0108154","movie","Skeeter","1993","95","Action,Horror,Sci-Fi",3.3,1066
"tt0108160","movie","Sleepless in Seattle","1993","105","Comedy,Drama,Romance",6.8,191903
"tt0108162","movie","Sliver","1993","107","Drama,Thriller",5.1,34248
"tt0108167","movie","Smoking/No Smoking","1993","298","Comedy,Drama",7.4,1940
"tt0108169","movie","Snapdragon","1993","98","Mystery,Thriller",3.7,1890
"tt0108171","movie","Sniper","1993","98","Action,Thriller,War",6.1,25563
"tt0108174","movie","So I Married an Axe Murderer","1993","93","Comedy,Romance",6.5,43065
"tt0108176","movie","Remote Control","1992","78","Comedy,Crime",7.6,1155
"tt0108179","movie","Thirst for Gold","1993","81","Adventure,Comedy,Crime",4.7,1089
"tt0108185","movie","Sommersby","1993","114","Drama,Mystery,Romance",6.3,23321
"tt0108186","movie","Son in Law","1993","95","Comedy,Drama,Romance",5.9,22578
"tt0108187","movie","Son of the Pink Panther","1993","93","Comedy,Crime",3.9,5951
"tt0108188","movie","Sonatine","1993","94","Action,Comedy,Crime",7.5,23435
"tt0108192","movie","Sopyonje","1993","112","Drama,Music",7.6,1122
"tt0108194","movie","Sose halunk meg","1993","95","Comedy,Drama",7.6,2005
"tt0108207","movie","Splitting Heirs","1993","87","Comedy,Crime",5.5,4598
"tt0108211","movie","Stalingrad","1993","134","Drama,War",7.5,37898
"tt0108238","movie","Striking Distance","1993","102","Action,Crime,Mystery",5.8,45707
"tt0108252","movie","Sune's Summer","1993","83","Comedy,Family",7,5098
"tt0108255","movie","Super Mario Bros.","1993","104","Adventure,Comedy,Family",4.2,63293
"tt0108258","movie","Surf Ninjas","1993","87","Action,Adventure,Comedy",5.1,8799
"tt0108260","movie","Suture","1993","96","Drama,Thriller",6.5,2159
"tt0108265","movie","Swing Kids","1993","112","Drama,Music",6.7,17427
"tt0108275","movie","The Searchers","1993","108","Action,Crime,Drama",4.7,2317
"tt0108277","movie","TC 2000","1993","95","Action,Sci-Fi",4.5,1577
"tt0108281","movie","Tai Chi Master","1993","96","Action,Comedy,Drama",7.2,10877
"tt0108289","movie","Flirting Scholar","1993","102","Comedy,Romance",7.6,6262
"tt0108290","movie","Tango","1993","88","Comedy,Crime",6.2,1374
